,entrez,Genesym
0,66008,TRAK2
1,8473,OGT
2,2561,GABRB2
3,3759,KCNJ2
4,22906,TRAK1
5,4928,NUP98
6,1994,ELAVL1
7,8481,OFD1
8,81610,FAM83D
9,51361,HOOK1
10,221937,FOXK1
11,64837,KLC2
12,89953,KLC4
13,121441,NEDD1
14,23095,KIF1B
15,5565,PRKAB2
16,5562,PRKAA1
17,5571,PRKAG1
18,5347,PLK1
19,10651,MTX2
20,79649,MAP7D3
21,55288,RHOT1
22,3831,KLC1
23,3800,KIF5C
24,3799,KIF5B
25,3798,KIF5A
26,131405,TRIM71
27,283643,C14orf80
28,2932,GSK3B
29,2931,GSK3A
30,84270,CARD19
31,84129,ACAD11
32,26586,CKAP2
33,9657,IQCB1
34,7514,XPO1
35,23557,SNAPIN
36,84062,DTNBP1
37,1559,CYP2C9
38,5447,POR
39,11140,CDC37
40,140545,RNF32
41,9545,RAB3D
42,22983,MAST1
43,6776,STAT5A
44,10617,STAMBP
45,1565,CYP2D6
46,51295,ECSIT
47,1562,CYP2C18
48,1557,CYP2C19
49,1576,CYP3A4
50,976,ADGRE5
51,10452,TOMM40
52,10133,OPTN
53,4218,RAB8A
54,2314,FLII
55,2971,GTF3A
56,9230,RAB11B
57,51019,WASHC3
58,79735,TBC1D17
59,2353,FOS
60,3064,HTT
61,26994,RNF11
62,91833,WDR20
63,29110,TBK1
64,23239,PHLPP1
65,27089,UQCRQ
66,8831,SYNGAP1
67,5468,PPARG
68,1059,CENPB
69,10969,EBNA1BP2
70,1982,EIF4G2
71,55719,SLF2
72,2778,GNAS
73,91942,NDUFAF2
74,6168,RPL37A
75,3313,HSPA9
76,23499,MACF1
77,10313,RTN3
78,23172,FAM175B
79,153527,ZMAT2
80,10318,TNIP1
81,51588,PIAS4
82,1540,CYLD
83,8737,RIPK1
84,8697,CDC23
85,222484,LNX2
86,9413,FAM189A2
87,79734,KCTD17
88,801,CALM1
89,10971,YWHAQ
90,56648,EIF5A2
91,51678,MPP6
92,7532,YWHAG
93,7533,YWHAH
94,7534,YWHAZ
95,7529,YWHAB
96,171017,ZNF384
97,4354,MPP1
98,8887,TAX1BP1
99,1026,CDKN1A
100,6900,CNTN2
101,7871,SLMAP
102,7415,VCP
103,79088,ZNF426
104,7314,UBB
105,7273,TTN
106,7450,VWF
107,58533,SNX6
108,202333,CMYA5
109,55900,ZNF302
110,8291,DYSF
111,339318,ZNF181
112,7552,ZNF711
113,2495,FTH1
114,4621,MYH3
115,1213,CLTC
116,667,DST
117,9472,AKAP6
118,22873,DZIP1
119,151050,KANSL1L
120,4703,NEB
121,84557,MAP1LC3A
122,23710,GABARAPL1
123,11345,GABARAPL2
124,7037,TFRC
125,50807,ASAP1
126,2911,GRM1
127,4646,MYO6
128,8717,TRADD
129,5867,RAB4A
130,7187,TRAF3
131,81631,MAP1LC3B
132,11337,GABARAP
133,7132,TNFRSF1A
134,8766,RAB11A
135,7124,TNF
136,9577,BRE
137,6647,SOD1
138,51552,RAB14
139,2060,EPS15
140,23390,ZDHHC17
141,201475,RAB12
142,10890,RAB10
143,8878,SQSTM1
144,57531,HACE1
145,57111,RAB25
146,93474,ZNF670
147,5071,PARK2
148,64786,TBC1D15
149,57541,ZNF398
150,79673,ZNF329
151,9802,DAZAP2
152,5866,RAB3IL1
153,23673,STX12
154,3315,HSPB1
155,4901,NRL
156,440738,MAP1LC3C
157,10137,RBM12
158,9516,LITAF
159,8517,IKBKG
160,10626,TRIM16
161,841,CASP8
162,9474,ATG5
163,9255,AIMP1
164,9204,ZMYM6
165,4624,MYH6
166,342346,C16orf96
167,6059,ABCE1
168,5499,PPP1CA
169,3853,KRT6A
170,5764,PTN
171,5108,PCM1
172,3281,HSBP1
173,23636,NUP62
174,10403,NDC80
