0.610987,0.342766,0.440045,64,185,212,255,A1BG;1;alpha-1-B glycoprotein;P04217;90.05781037878974
0.595931,0.301585,0.434705,64,185,212,255,A1CF;29974;APOBEC1 complementation factor;Q9NQ94;90.17680152419003
0.574806,0.425985,0.561354,64,185,212,255,A2M;2;alpha-2-macroglobulin;P01023;62.26754696467061
0.560942,0.315197,0.492892,64,185,212,255,A2ML1;144568;alpha-2-macroglobulin like 1;A8K2U0;62.83710341453799
0.763915,0.386406,0.743854,64,185,212,255,A4GALT;53947;alpha 1 -4-galactosyltransferase;Q9NPC4;100.77205072463416
0.710603,0.505061,0.641813,64,185,212,255,A4GNT;51146;alpha-1 -4-N-acetylglucosaminyltransferase;Q9UNA3;91.001568923895
0.648405,0.498669,0.548512,64,185,212,255,AAAS;8086;aladin WD repeat nucleoporin;Q9NRG9;83.61515984083906
0.553071,0.806803,0.540184,64,185,212,255,AACS;65985;acetoacetyl-CoA synthetase;Q86V21;119.44182960912946
0.86723,0.180972,0.706795,64,185,212,255,AADAT;51166;aminoadipate aminotransferase;Q8N5Z0;137.12929695718714
0.43235,0.794455,0.722536,64,185,212,255,AAED1;195827;AhpC/TSA antioxidant enzyme domain containing 1;Q7RTV5;167.6258970530606
0.580876,0.634034,0.608331,64,185,212,255,AAGAB;79719;alpha- and gamma-adaptin binding protein;Q6PD74;101.89513516284721
0.501283,0.66931,0.542315,64,185,212,255,AAK1;22848;AP2 associated kinase 1;Q2M2I8;61.20866948476601
0.340203,0.719888,0.603711,64,185,212,255,AAMDC;28971;adipogenesis associated Mth938 domain containing;Q9H7C9;236.9353844719417
0.486182,0.446411,0.542815,64,185,212,255,AAMP;14;angio associated migratory cell protein;Q13685;83.72280537129174
0.286173,0.328615,0.563467,64,185,212,255,AANAT;15;aralkylamine N-acetyltransferase;Q16613;78.60317360919454
0.625214,0.626709,0.449292,64,185,212,255,AAR2;25980;AAR2 splicing factor homolog;Q9Y312;95.41572214909587
0.562675,0.573423,0.479942,64,185,212,255,AARS;16;alanyl-tRNA synthetase;P49588;83.55680357030758
0.695345,0.483821,0.48147,64,185,212,255,AARS2;57505;alanyl-tRNA synthetase 2 - mitochondrial;Q5JTZ9;68.27763076647561
0.519604,0.518318,0.45909,64,185,212,255,AARSD1;80755;alanyl-tRNA synthetase domain containing 1;Q9BTE6;83.41886131925153
0.586246,0.795418,0.413624,64,185,212,255,AASDH;132949;aminoadipate-semialdehyde dehydrogenase;Q4L235;79.69143428312978
0.531078,0.604159,0.54676,64,185,212,255,AASDHPPT;60496;aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase;Q9NRN7;124.90885884731375
0.689515,0.681794,0.389664,64,185,212,255,AASS;10157;aminoadipate-semialdehyde synthase;Q9UDR5;73.48811834359478
0.536085,0.496976,0.391409,64,185,212,255,AATF;26574;apoptosis antagonizing transcription factor;Q9NY61;57.59593903632966
0.555643,0.480353,0.559766,64,185,212,255,AATK;9625;apoptosis associated tyrosine kinase;Q6ZMQ8;54.795557401460236
0.667059,0.588313,0.490321,64,185,212,255,ABAT;18;4-aminobutyrate aminotransferase;P80404;103.29783316488734
0.450599,0.524209,0.573446,64,185,212,255,ABCA1;19;ATP binding cassette subfamily A member 1;O95477;46.70955257885658
0.659008,0.292027,0.211133,64,185,212,255,ABCA10;10349;ATP binding cassette subfamily A member 10;Q8WWZ4;69.17738658175345
0.217365,0.347905,0.692745,64,185,212,255,ABCA12;26154;ATP binding cassette subfamily A member 12;Q86UK0;48.68263153256628
0.816896,0.43126,0.515332,64,185,212,255,ABCA13;154664;ATP binding cassette subfamily A member 13;Q86UQ4;42.2817210362075
0.654862,0.483809,0.599422,64,185,212,255,ABCA2;20;ATP binding cassette subfamily A member 2;Q9BZC7;45.34722630155441
0.656836,0.49257,0.754357,64,185,212,255,ABCA3;21;ATP binding cassette subfamily A member 3;Q99758;68.98120454076331
0.432852,0.916134,0.216606,64,185,212,255,ABCA4;24;ATP binding cassette subfamily A member 4;P78363;45.651450946185406
0.553433,0.110203,0.50807,64,185,212,255,ABCA5;23461;ATP binding cassette subfamily A member 5;Q8WWZ7;63.7245459337465
0.586049,0.07399,0.61731,64,185,212,255,ABCA6;23460;ATP binding cassette subfamily A member 6;Q8N139;67.05943868072808
0.776551,0.482775,0.584453,64,185,212,255,ABCA7;10347;ATP binding cassette subfamily A member 7;Q8IZY2;50.28444270132854
0.464136,0.179467,0.289262,64,185,212,255,ABCA9;10350;ATP binding cassette subfamily A member 9;Q8IUA7;68.19559967332289
0.533003,0.382593,0.53682,64,185,212,255,ABCB1;5243;ATP binding cassette subfamily B member 1;P08183;73.64852887657402
